id,name,position,value
627,Sam Johnstone,GK,45
628,José Malheiro de Sá,GK,45
629,Daniel Bentley,GK,40
631,Emmanuel Agbadou,DEF,45
632,Matt Doherty,DEF,45
633,Hugo Bueno López,DEF,45
634,Yerson Mosquera Valdelamar,DEF,45
635,Rodrigo Martins Gomes,DEF,45
636,Santiago Ignacio Bueno,DEF,45
637,Toti Gomes,DEF,45
638,Ki-Jana Hoever,DEF,40
639,Bastien Meupiyou Menadjou,DEF,40
640,Pedro Cardoso de Lima,DEF,40
641,Alfie Pond,DEF,40
642,Hwang Hee-chan,MID,60
643,André Trindade da Costa Neto,MID,55
644,Jean-Ricner Bellegarde,MID,55
645,Fer López González,MID,55
646,João Victor Gomes da Silva,MID,55
647,Gonçalo Manuel Ganchinho Guedes,MID,55
648,Marshall Munetsi,MID,55
649,Boubacar Traoré,MID,50
650,Tawanda Chirewa,MID,45
651,Tom Edozie,MID,45
652,Enso González Medina,MID,45
653,Joe Hodge,MID,45
654,Jørgen Strand Larsen,FWD,65
655,Fábio Soares Silva,FWD,50
656,Saša Kalajdžić,FWD,50
657,Leon Chiwome,FWD,45
658,Nathan Fraser,FWD,45
663,Jhon Arias,MID,55
682,David Møller Wolfe,DEF,45
695,Jackson Tchatchoua,DEF,45
