name,season,GW,position,value,strength_difference,attack_strength_difference,defence_strength_difference,was_home,ict_index_ewma,minutes_ewma,total_points_ewma,total_points
Aaron Ramsdale,2024-25,10,GK,44,-1.0,-130.0,-170.0,1,2.860512784939672,90.0,2.646421030004431,9
Aaron Ramsdale,2024-25,11,GK,44,-1.0,-150.0,-110.0,0,3.0070085232931145,90.0,4.764280686669621,0
Aaron Ramsdale,2024-25,17,GK,44,-1.0,-160.0,-160.0,0,2.4713390155287436,90.0,3.176187124446414,10
Aaron Ramsdale,2024-25,18,GK,44,-1.0,-110.0,-100.0,1,2.947559343685829,90.0,5.450791416297609,2
Aaron Ramsdale,2024-25,19,GK,44,-1.0,-160.0,-150.0,0,2.2317062291238865,90.0,4.300527610865074,3
Aaron Ramsdale,2024-25,20,GK,44,-1.0,-260.0,-110.0,1,3.1878041527492575,90.0,3.867018407243383,1
Aaron Ramsdale,2024-25,21,GK,44,-1.0,-70.0,-130.0,0,3.425202768499505,90.0,2.9113456048289224,3
Aaron Wan-Bissaka,2022-23,3,DEF,44,-1.0,-160.0,-85.0,1,0.0,0.0,0.0,1
Aaron Wan-Bissaka,2022-23,17,DEF,43,0.0,35.0,65.0,1,0.3,4.0,1.0,6
Aaron Wan-Bissaka,2022-23,18,DEF,43,0.0,160.0,120.0,0,2.0,32.666666666666664,2.666666666666667,9
Aaron Wan-Bissaka,2022-23,19,DEF,43,1.0,60.0,55.0,1,2.466666666666667,51.77777777777778,4.777777777777779,6
Aaron Wan-Bissaka,2022-23,20,DEF,43,-2.0,-240.0,-175.0,1,2.477777777777778,57.18518518518519,5.185185185185186,2
Aaron Wan-Bissaka,2022-23,20,DEF,43,0.0,160.0,110.0,0,2.318518518518519,68.12345679012347,4.123456790123458,2
Aaron Wan-Bissaka,2022-23,21,DEF,43,-1.0,-20.0,-30.0,0,3.1123456790123463,75.41563786008231,3.4156378600823056,1
Aaron Wan-Bissaka,2022-23,22,DEF,43,0.0,50.0,55.0,1,3.3415637860082312,80.27709190672155,2.610425240054871,2
Aaron Wan-Bissaka,2022-23,23,DEF,43,0.0,90.0,150.0,0,2.8277091906721545,82.18472793781437,2.4069501600365806,1
Aaron Wan-Bissaka,2022-23,24,DEF,43,0.0,20.0,55.0,1,2.0184727937814366,60.456485291876255,1.9379667733577204,1
Aaron Wan-Bissaka,2022-23,27,DEF,43,1.0,60.0,95.0,1,1.9456485291876247,47.30432352791751,1.6253111822384803,6
Aaron Wan-Bissaka,2022-23,30,DEF,43,0.0,50.0,65.0,1,2.197099019458417,61.53621568527834,3.083540788158987,6
Aaron Wan-Bissaka,2022-23,31,DEF,43,0.0,190.0,155.0,0,4.398066012972278,71.02414379018558,4.055693858772658,6
Aaron Wan-Bissaka,2022-23,33,DEF,43,0.0,50.0,80.0,0,4.832044008648186,77.34942919345706,4.703795905848439,1
Aaron Wan-Bissaka,2022-23,34,DEF,43,0.0,20.0,80.0,0,3.2213626724321243,74.89961946230471,3.4691972705656267,2
Aaron Wan-Bissaka,2022-23,35,DEF,43,0.0,160.0,75.0,0,3.04757511495475,79.93307964153648,2.9794648470437513,1
Aaron Wan-Bissaka,2022-23,36,DEF,43,0.0,60.0,65.0,1,3.931716743303167,81.955386427691,2.3196432313625013,6
Aaron Wan-Bissaka,2022-23,37,DEF,43,1.0,170.0,200.0,0,3.654477828868778,84.63692428512734,3.5464288209083343,6
Aaron Wan-Bissaka,2022-23,37,DEF,43,0.0,-80.0,-55.0,1,3.9696518859125187,86.42461619008489,4.364285880605557,2
Aaron Wan-Bissaka,2023-24,1,DEF,45,0.0,30.0,15.0,1,3.6131012572750123,87.61641079338993,3.5761905870703714,12
Aaron Wan-Bissaka,2023-24,2,DEF,45,-1.0,-20.0,120.0,0,5.142067504850008,88.41094052892663,6.384127058046914,1
Aaron Wan-Bissaka,2023-24,3,DEF,46,0.0,50.0,-5.0,1,4.094711669900006,80.60729368595109,4.589418038697943,0
Aaron Wan-Bissaka,2023-24,4,DEF,46,-2.0,-120.0,-140.0,0,3.6298077799333375,83.73819579063407,3.059612025798629,1
Aaron Wan-Bissaka,2023-24,5,DEF,46,0.0,-110.0,-60.0,1,3.3865385199555584,85.82546386042272,2.3730746838657533,1
Aaron Wan-Bissaka,2023-24,11,DEF,44,0.0,150.0,180.0,0,2.3910256799703724,58.88364257361515,1.915383122577169,8
Aaron Wan-Bissaka,2023-24,13,DEF,44,0.0,145.0,105.0,0,2.6273504533135816,69.25576171574343,3.943588748384779,1
Aaron Wan-Bissaka,2023-24,14,DEF,44,0.0,50.0,180.0,0,2.051566968875721,50.83717447716229,2.9623924989231867,2
Aaron Wan-Bissaka,2023-24,18,DEF,44,0.0,60.0,175.0,0,1.9010446459171475,60.22478298477486,2.6415949992821246,1
Aaron Wan-Bissaka,2023-24,19,DEF,44,-1.0,-220.0,-100.0,1,1.8673630972780986,70.14985532318325,2.0943966661880835,1
Aaron Wan-Bissaka,2023-24,20,DEF,44,0.0,130.0,180.0,0,1.8115753981853993,76.7665702154555,1.7295977774587223,1
Aaron Wan-Bissaka,2023-24,21,DEF,44,-1.0,-180.0,-30.0,1,2.6077169321235996,80.84438014363701,1.486398518305815,0
Aaron Wan-Bissaka,2023-24,30,DEF,44,0.0,120.0,120.0,0,2.6718112880823996,83.89625342909135,0.9909323455372101,1
Aaron Wan-Bissaka,2023-24,31,DEF,44,0.0,40.0,150.0,0,2.8478741920549333,85.93083561939423,0.9939548970248069,0
Aaron Wan-Bissaka,2023-24,32,DEF,44,-1.0,-260.0,-230.0,1,2.798582794703289,87.28722374626282,0.662636598016538,4
Aaron Wan-Bissaka,2023-24,33,DEF,44,0.0,65.0,175.0,0,3.7657218631355263,88.19148249750856,1.7750910653443586,1
Aaron Wan-Bissaka,2023-24,34,DEF,44,1.0,70.0,100.0,1,3.6438145754236846,88.79432166500571,1.516727376896239,1
Aaron Wan-Bissaka,2023-24,35,DEF,44,1.0,80.0,70.0,1,3.0625430502824567,89.19621444333714,1.344484917930826,2
Aaron Wan-Bissaka,2023-24,36,DEF,44,0.0,150.0,150.0,0,2.9750287001883047,89.46414296222477,1.5629899452872174,0
Aaron Wan-Bissaka,2023-24,37,DEF,44,-2.0,-230.0,-250.0,1,3.15001913345887,89.64276197481652,1.0419932968581451,2
Aaron Wan-Bissaka,2023-24,37,DEF,44,0.0,-225.0,-90.0,1,2.7333460889725805,88.42850798321102,1.361328864572097,1
Aaron Wan-Bissaka,2023-24,38,DEF,44,0.0,75.0,160.0,0,3.755564059315054,88.95233865547402,1.2408859097147313,6
Aaron Wan-Bissaka,2024-25,2,DEF,45,0.0,-70.0,-30.0,0,3.0370427062100362,89.30155910364935,2.8272572731431542,1
Aaron Wan-Bissaka,2024-25,3,DEF,45,-1.0,-280.0,-80.0,1,2.1580284708066912,68.86770606909957,2.21817151542877,1
Aaron Wan-Bissaka,2024-25,4,DEF,45,0.0,-70.0,-40.0,0,3.1386856472044604,75.91180404606638,1.81211434361918,2
Aaron Wan-Bissaka,2024-25,5,DEF,45,0.0,-210.0,-80.0,1,3.0591237648029734,80.60786936404426,1.8747428957461203,1
Aaron Wan-Bissaka,2024-25,6,DEF,45,0.0,-70.0,10.0,0,4.406082509868648,83.73857957602951,1.5831619304974136,2
Aaron Wan-Bissaka,2024-25,7,DEF,45,1.0,0.0,50.0,1,4.037388339912432,85.82571971735301,1.7221079536649424,2
Aaron Wan-Bissaka,2024-25,8,DEF,45,0.0,-120.0,50.0,0,3.924925559941622,87.21714647823535,1.8147386357766284,0
Aaron Wan-Bissaka,2024-25,9,DEF,44,0.0,-50.0,-40.0,1,4.183283706627749,88.14476431882358,1.209825757184419,2
Aaron Wan-Bissaka,2024-25,10,DEF,44,-1.0,-160.0,-80.0,0,3.7888558044184992,88.76317621254906,1.4732171714562794,1
Aaron Wan-Bissaka,2024-25,11,DEF,44,0.0,-40.0,-70.0,1,3.092570536279,89.17545080836604,1.3154781143041863,6
Aaron Wan-Bissaka,2024-25,12,DEF,44,-1.0,-200.0,-40.0,0,2.528380357519334,81.4503005389107,2.8769854095361245,15
Aaron Wan-Bissaka,2024-25,13,DEF,44,-2.0,-210.0,-310.0,1,4.252253571679556,84.3002003592738,6.917990273024083,6
Aaron Wan-Bissaka,2024-25,14,DEF,45,1.0,100.0,110.0,0,5.268169047786371,86.20013357284921,6.611993515349389,1
Aaron Wan-Bissaka,2024-25,15,DEF,45,0.0,-80.0,-30.0,1,4.94544603185758,87.46675571523281,4.741329010232926,2
Aaron Wan-Bissaka,2024-25,16,DEF,46,0.0,-130.0,-10.0,0,5.063630687905054,88.31117047682187,3.8275526734886176,5
Aaron Wan-Bissaka,2024-25,17,DEF,46,0.0,-100.0,-50.0,1,4.409087125270036,88.87411365121459,4.218368448992412,2
Aaron Wan-Bissaka,2024-25,18,DEF,46,1.0,100.0,110.0,0,3.7393914168466904,89.24940910080973,3.478912299328275,9
Aaron Wan-Bissaka,2024-25,19,DEF,46,-2.0,-290.0,-270.0,1,4.626260944564461,89.49960606720649,5.31927486621885,0
Aaron Wan-Bissaka,2024-25,20,DEF,46,-1.0,-190.0,-50.0,0,4.417507296376307,89.66640404480432,3.5461832441459,0
Aaron Wan-Bissaka,2024-25,21,DEF,46,0.0,-70.0,-60.0,1,3.4450048642508717,89.77760269653622,2.3641221627639335,3
Abdoulaye Doucouré,2022-23,1,MID,55,0.0,-150.0,-180.0,1,0.0,0.0,0.0,2
Abdoulaye Doucouré,2022-23,2,MID,55,0.0,30.0,20.0,0,3.9,90.0,2.0,1
Abdoulaye Doucouré,2022-23,8,MID,53,0.0,-40.0,-110.0,1,2.7,71.33333333333334,1.6666666666666667,1
Abdoulaye Doucouré,2022-23,9,MID,53,1.0,40.0,20.0,0,1.8333333333333337,50.555555555555564,1.4444444444444446,1
Abdoulaye Doucouré,2022-23,13,MID,53,0.0,-20.0,-70.0,1,1.2222222222222225,34.03703703703705,1.2962962962962965,1
Abdoulaye Doucouré,2022-23,15,MID,53,0.0,-50.0,-70.0,1,0.8148148148148151,24.024691358024704,1.197530864197531,1
Abdoulaye Doucouré,2022-23,16,MID,53,1.0,50.0,70.0,0,0.8098765432098769,25.683127572016474,1.1316872427983542,1
