name,GW,position,value,strength_difference,attack_strength_difference,defence_strength_difference,was_home,ict_index_ewma,minutes_ewma,total_points_ewma,total_points
Armando Broja,1,FWD,55,-1.0,-110.0,-50.0,0,0.0,0.0,0.0,0
Armando Broja,2,FWD,55,0.0,0.0,0.0,1,0.0,0.0,0.0,0
Armando Broja,3,FWD,54,-1.0,-50.0,-60.0,0,0.0,0.0,0.0,0
Arnaud Kalimuendo,2,FWD,60,0.0,70.0,60.0,0,0.0,0.0,0.0,1
Arnaud Kalimuendo,3,FWD,60,0.0,50.0,80.0,1,0.3,19.0,1.0,1
Arthur Masuaku,1,DEF,40,-1.0,-50.0,-50.0,1,0.0,0.0,0.0,0
Arthur Masuaku,2,DEF,40,0.0,0.0,0.0,0,0.0,0.0,0.0,0
Arthur Masuaku,3,DEF,40,-1.0,-240.0,-30.0,1,0.0,0.0,0.0,0
Asher Agbinone,1,MID,45,-1.0,-90.0,40.0,0,0.0,0.0,0.0,0
Asher Agbinone,2,MID,45,0.0,-60.0,-70.0,1,0.0,0.0,0.0,0
Asher Agbinone,3,MID,45,0.0,-10.0,80.0,0,0.0,0.0,0.0,0
Ashley Barnes,1,FWD,45,-1.0,-110.0,-50.0,0,0.0,0.0,0.0,0
Ashley Barnes,2,FWD,45,0.0,0.0,0.0,1,0.0,0.0,0.0,0
Ashley Barnes,3,FWD,45,-1.0,-50.0,-60.0,0,0.0,0.0,0.0,0
Ashley Phillips,1,DEF,40,1.0,50.0,110.0,1,0.0,0.0,0.0,0
Ashley Phillips,2,DEF,40,-1.0,-200.0,0.0,0,0.0,0.0,0.0,0
Ashley Phillips,3,DEF,40,0.0,-100.0,0.0,1,0.0,0.0,0.0,0
Axel Tuanzebe,1,DEF,40,-1.0,-110.0,-50.0,0,0.0,0.0,0.0,0
Axel Tuanzebe,2,DEF,40,0.0,0.0,0.0,1,0.0,0.0,0.0,0
Axel Tuanzebe,3,DEF,40,-1.0,-50.0,-60.0,0,0.0,0.0,0.0,0
Ayden Heaven,1,DEF,40,-1.0,-190.0,-250.0,1,0.0,0.0,0.0,0
Ayden Heaven,2,DEF,40,0.0,-10.0,10.0,0,0.0,0.0,0.0,1
Ayden Heaven,3,DEF,40,1.0,60.0,50.0,1,0.06666666666666667,1.0,0.3333333333333333,0
Bafodé Diakité,1,DEF,45,-2.0,-220.0,-90.0,0,0.0,0.0,0.0,0
Bafodé Diakité,2,DEF,45,0.0,-50.0,100.0,1,1.5,90.0,0.0,10
Bafodé Diakité,3,DEF,45,0.0,0.0,100.0,0,1.7333333333333334,90.0,3.333333333333333,6
Bart Verbruggen,1,GK,45,0.0,-30.0,80.0,1,0.0,0.0,0.0,2
Bart Verbruggen,2,GK,45,0.0,80.0,70.0,0,1.4,90.0,2.0,1
Bart Verbruggen,3,GK,45,-1.0,-290.0,-40.0,1,1.6,90.0,1.6666666666666667,2
Bashir Humphreys,1,DEF,40,-1.0,-110.0,-50.0,0,0.0,0.0,0.0,0
Bashir Humphreys,2,DEF,40,0.0,0.0,0.0,1,0.0,0.0,0.0,0
Bashir Humphreys,3,DEF,40,-1.0,-50.0,-60.0,0,0.0,0.0,0.0,0
Bastien Meupiyou Menadjou,1,DEF,40,-1.0,-300.0,-130.0,1,0.0,0.0,0.0,0
Bastien Meupiyou Menadjou,2,DEF,40,0.0,-100.0,50.0,0,0.0,0.0,0.0,0
Bastien Meupiyou Menadjou,3,DEF,40,0.0,-10.0,-20.0,1,0.0,0.0,0.0,0
Ben Broggio,1,MID,45,-1.0,-210.0,-30.0,1,0.0,0.0,0.0,0
Ben Broggio,2,MID,45,0.0,40.0,220.0,0,0.0,0.0,0.0,0
Ben Broggio,3,MID,45,0.0,-80.0,10.0,1,0.0,0.0,0.0,0
Ben Davies,1,DEF,45,1.0,50.0,110.0,1,0.0,0.0,0.0,0
Ben Davies,2,DEF,45,-1.0,-200.0,0.0,0,0.0,0.0,0.0,0
Ben Davies,3,DEF,45,0.0,-100.0,0.0,1,0.0,0.0,0.0,0
Ben Doak,1,MID,50,2.0,90.0,220.0,1,0.0,0.0,0.0,0
Ben Gannon-Doak,2,MID,50,0.0,-50.0,100.0,1,0.0,0.0,0.0,0
Ben Gannon-Doak,3,MID,50,0.0,0.0,100.0,0,0.0,0.0,0.0,0
Ben Winterburn,1,MID,45,-2.0,-220.0,-90.0,0,0.0,0.0,0.0,1
Ben Winterburn,2,MID,45,0.0,-50.0,100.0,1,0.0,6.0,1.0,0
